レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,tivxRemoveTargetKernelDLPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_pre_proc_target_no_dma.c,共通/その他
,tivxAddTargetKernelDofPlaneSep(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dof_plane_seperation_target.c,共通/その他
,tivxRemoveTargetKernelDofPlaneSep(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dof_plane_seperation_target.c,共通/その他
,drawBox(),その他,タスクループ,一般的な制御ロジックを実行する,,,,kernels/img_proc/c66/vx_draw_box_detections_target.c,共通/その他
,memcpyC66(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Not enabled - change to 1 for doing CPU copy）,Not enabled - change to 1 for doing CPU copy,Not enabled - change to 1 for doing CPU copy,"num_params, tivxDrawBoxDetectionsParams",kernels/img_proc/c66/vx_draw_box_detections_target.c,共通/その他
,tivxAddTargetKernelDrawBoxDetections(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_draw_box_detections_target.c,共通/その他
,tivxRemoveTargetKernelDrawBoxDetections(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_draw_box_detections_target.c,共通/その他
,drawJoinedPoints(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,,kernels/img_proc/c66/vx_draw_keypoint_detections_target.c,共通/その他
,tivxAddTargetKernelDrawKeypointDetections(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tivxDrawKeypointDetectionsParams,kernels/img_proc/c66/vx_draw_keypoint_detections_target.c,共通/その他
,tivxRemoveTargetKernelDrawKeypointDetections(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,tivxDrawKeypointDetectionsParams,kernels/img_proc/c66/vx_draw_keypoint_detections_target.c,共通/その他
,tivxAddTargetKernelImgPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tivxImgPreProcKernelParams, nodeParams",kernels/img_proc/c66/vx_image_preprocessing_target.c,共通/その他
,tivxRemoveTargetKernelImgPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tivxImgPreProcKernelParams, nodeParams",kernels/img_proc/c66/vx_image_preprocessing_target.c,共通/その他
,memcpyC662d(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"num_params, tivxImgPreProcParams",kernels/img_proc/c66/vx_image_preprocessing_target_no_dma.c,共通/その他
,tivxRegisterImgProcTargetC66Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_kernels_img_proc_target.c,共通/その他
,tivxUnRegisterImgProcTargetC66Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_kernels_img_proc_target.c,共通/その他
,tivxAddTargetKernelOCPostProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_oc_post_proc_target.c,共通/その他
,tivxRemoveTargetKernelOCPostProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_oc_post_proc_target.c,共通/その他
,tivxAddTargetKernelOCPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_oc_pre_proc_target.c,共通/その他
,tivxRemoveTargetKernelOCPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_oc_pre_proc_target.c,共通/その他
,tivxAddTargetKernelODPostProc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_od_postprocessing_target.c,共通/その他
,tivxRemoveTargetKernelODPostProc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_od_postprocessing_target.c,共通/その他
,convert_16bit_to_8bit(),その他,タスクループ,一般的な制御ロジックを実行する,,,,kernels/img_proc/c66/vx_pixel_visualization_target.c,共通/その他
,tivxAddTargetKernelPixelViz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_pixel_visualization_target.c,共通/その他
,tivxRemoveTargetKernelPixelViz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_pixel_visualization_target.c,共通/その他
,tivxAddTargetKernelPoseViz(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_pose_visualization_target.c,共通/その他
,tivxRemoveTargetKernelPoseViz(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_pose_visualization_target.c,共通/その他
,tivxAddTargetKernelVisualLocalization(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tivxVisualLocalizationKernelParams,kernels/img_proc/c66/vx_visual_localization_target.c,共通/その他
,tivxRemoveTargetKernelVisualLocalization(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tivxVisualLocalizationKernelParams,kernels/img_proc/c66/vx_visual_localization_target.c,共通/その他
,tivxVLFreeMem(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tivxVisualLocalizationKernelParams,kernels/img_proc/c66/vx_visual_localization_target.c,共通/その他
,tivxRegisterImgProcTargetC71Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c71/vx_kernels_img_proc_target.c,共通/その他
,tivxUnRegisterImgProcTargetC71Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c71/vx_kernels_img_proc_target.c,共通/その他
,tivxAddTargetKernelSFM(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tivxSFMObj, sfmObj",kernels/img_proc/c71/vx_sfm_target.c,共通/その他
,tivxRemoveTargetKernelSFM(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tivxSFMObj, sfmObj",kernels/img_proc/c71/vx_sfm_target.c,共通/その他
,tivxSFMFreeMem(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"sfmObj, tivxSFMObj",kernels/img_proc/c71/vx_sfm_target.c,共通/その他
,tivxImgMosaicParamsSetDefaults(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,tivxImgMosaicParams,kernels/img_proc/host/tivx_img_mosaic_host.c,共通/その他
,tivxImgProcLoadKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/host/vx_kernels_img_proc_host.c,共通/その他
,tivxImgProcUnLoadKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/host/vx_kernels_img_proc_host.c,共通/その他
,tivxRegisterImgProcKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/host/vx_kernels_img_proc_host.c,共通/その他
,tivxUnRegisterImgProcKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/host/vx_kernels_img_proc_host.c,共通/その他
,tivxAddTargetKernelImgMosaicMsc(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,"num_params, tivxImgMosaicParams, tivxImgMosaicMscObj, msc_obj",kernels/img_proc/r5f/vx_img_mosaic_msc_target.c,共通/その他
,tivxKernelImgMosaicMscDrvSetScCfg(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: status = VX_FAILURE;）,status = VX_FAILURE;,status = VX_FAILURE;,"sc_cfg, Fvid2_Handle, tivxImgMosaicMscInstObj, inst_obj",kernels/img_proc/r5f/vx_img_mosaic_msc_target.c,共通/その他
,tivxKernelImgMosaicMscDrvWait(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Submit MSC Request）,Submit MSC Request,Submit MSC Request,"inst_obj, tivxImgMosaicMscInstObj, tivxKernelImgMosaicMscDrvSetScCfg, sc_cfg, Fvid2_Handle",kernels/img_proc/r5f/vx_img_mosaic_msc_target.c,共通/その他
,tivxRemoveTargetKernelImgMosaicMsc(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"num_params, tivxImgMosaicParams, tivxImgMosaicMscObj, msc_obj",kernels/img_proc/r5f/vx_img_mosaic_msc_target.c,共通/その他
,tivxKernelImgMosaicMscFreeMem(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,"msc_obj, inst_obj, tivxImgMosaicMscObj, tivxImgMosaicMscInstObj, unitParams",kernels/img_proc/r5f/vx_img_mosaic_msc_target_sim.c,共通/その他
,tivxVpacMscScaleInitParams(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"unitParams, tivxImgMosaicMscInstObj",kernels/img_proc/r5f/vx_img_mosaic_msc_target_sim.c,共通/その他
,tivxRegisterImgProcTargetR5FKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/r5f/vx_kernels_img_proc_target.c,共通/その他
,tivxUnRegisterImgProcTargetR5FKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/r5f/vx_kernels_img_proc_target.c,共通/その他
,gpuRender1x1_renderFrame(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pObj, pEglWindowObj",kernels/sample/a72/gpu_render1x1.c,共通/その他
,gpuRender1x1_renderFrame1x1(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pObj, vPositionHandle, vTexHandle, yuvTexSamplerHandle, gpuRender1x1_renderFrame, GpuRender1x1_Obj, pEglWindowObj",kernels/sample/a72/gpu_render1x1.c,共通/その他
,gpuRender1x1_setup(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pObj, vPositionHandle, yuvTexSamplerHandle, vTexHandle, GpuRender1x1_Obj, pEglWindowObj, gpuRender1x1_renderFrame",kernels/sample/a72/gpu_render1x1.c,共通/その他
,gpuRender2x2_renderFrame(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pObj, render1x1Obj, pEglWindowObj",kernels/sample/a72/gpu_render2x2.c,共通/その他
,gpuRender2x2_setup(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"pObj, render1x1Obj, gpuRender2x2_renderFrame, GpuRender2x2_Obj, pEglWindowObj",kernels/sample/a72/gpu_render2x2.c,共通/その他
